Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,G_mean_rat,Dir_enc,A1_enc,A2_enc,A3_enc
1964,97,Drama,6.1,8,Narendra Suri,Biswajit Chatterjee,Waheeda Rehman,Lalita Pawar,5.985004212299915,6.05,6.235135135135135,6.870731707317073,6.8966666666666665
1964,97,Family,6.1,8,Narendra Suri,Biswajit Chatterjee,Waheeda Rehman,Lalita Pawar,6.1843800322061195,6.05,6.235135135135135,6.870731707317073,6.8966666666666665
1991,127,Thriller,2.8,9,Ram Pahwa,Pankaj Dheer,Javed Khan,Alok Nath,5.53436385255648,2.8,4.8999999999999995,4.659999999999999,6.377777777777777
1967,136,Drama,7.7,85,Hrishikesh Mukherjee,Meena Kumari,Dharmendra,Lalita Pawar,5.985004212299915,7.1625,6.697959183673469,6.194594594594594,6.8966666666666665
2021,106,Drama,8.1,24,Prabhat Sachdeva,Amit Bhardwaj,Gagansharmaknl,Nanda Yadav,5.985004212299915,8.1,8.1,8.1,8.1
1998,165,Action,5.3,2083,Tinnu Anand,Amitabh Bachchan,Ajay Devgn,Sonali Bendre,5.435978600089166,5.926666666666667,6.0929078014184395,4.987234042553192,5.1269230769230765
1998,165,Drama,5.3,2083,Tinnu Anand,Amitabh Bachchan,Ajay Devgn,Sonali Bendre,5.985004212299915,5.926666666666667,6.0929078014184395,4.987234042553192,5.1269230769230765
1998,165,Romance,5.3,2083,Tinnu Anand,Amitabh Bachchan,Ajay Devgn,Sonali Bendre,5.754529717253318,5.926666666666667,6.0929078014184395,4.987234042553192,5.1269230769230765
2001,172,Action,5.2,124,Ravichandran,Prashanth,Rinke Khanna,Raghuvaran,5.435978600089166,5.175,5.333333333333333,4.8,5.33125
2001,172,Drama,5.2,124,Ravichandran,Prashanth,Rinke Khanna,Raghuvaran,5.985004212299915,5.175,5.333333333333333,4.8,5.33125
2001,172,Romance,5.2,124,Ravichandran,Prashanth,Rinke Khanna,Raghuvaran,5.754529717253318,5.175,5.333333333333333,4.8,5.33125
2019,136,Action,6.0,850,Mangesh Hadawale,Meezaan Jafri,Sharmin Segal,Chinmayee Surve,5.435978600089166,6.0,6.0,6.0,6.0
